17/3/2022 2:42 | /responses.js(139) | IO5UxUYRR5nM9pzCQmo4O9HPlGfFjD1x | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
17/3/2022 6:35 | /responses.js(139) | 8aUdcqJoaTyS5vftLf3JbtOIFOHfHgMJ | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
17/3/2022 6:37 | /responses.js(139) | 7S9xYIqpiAcjG1DYoDvZMDbsu8U99sjk | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
17/3/2022 6:38 | /responses.js(139) | GCZ4VtkokWWwHgvTzBZNGCMn2gIqoVhI | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
17/3/2022 6:42 | /responses.js(139) | 6Tg18kRj2VxsiPUTXdYoXpO6qQRNbJFZ | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 6:42 | /responses.js(139) | Dod65w6CvuodiRl5Dcp9IsmPQftGdlkT | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 6:43 | /responses.js(139) | kKJkGBzfI9X1SliQRU7ZOvaYh7QKO3F5 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 6:45 | /responses.js(139) | twhRD2D0xpMBUd6oByEdvIFBhDdMjlWW | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 6:45 | /responses.js(139) | a9oXMRrJWvs3qwSE44a1romXt0CaEQ5Y | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 6:46 | /responses.js(139) | iZbfNbCeznmnLrSkuMnZOCE0jZD8EgDe | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 6:46 | /responses.js(139) | vu7Wcv0o4j8g5HrK45DqTqNieIkztoZe | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
17/3/2022 9:21 | /responses.js(139) | GipmZFDDE0jiU27vmX8Z1dvwets9XqXJ | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
17/3/2022 9:56 | /errorHandler.js(7) | 5gJJkxiHnKWQOC8FGCtqllJBCpD90G7G | [error] | IP - ::ffff:103.58.152.103 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Only .xlsx, .xls and .csv format allowed!
17/3/2022 9:58 | /errorHandler.js(7) | AQEwmCAcintZwjdSd2QYc3A0WJoicPT5 | [error] | IP - ::ffff:103.58.152.103 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Only .xlsx, .xls and .csv format allowed!
